BALANCE_AS_OF_DATE,PLANT_NAME,MATERIAL_NAME,BATCH_NUMBER,UNRESRICTED_STOCK,STOCK_UNIT,STOCK_SELL_VALUE,CURRENCY
12/31/2023,CHINA-WAREHOUSE,MAT-0045,SCRAP,164,KG,211,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0193,6024,0,KG,87666,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0193,5755,70720,KG,414419,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0193,3142,12240,KG,71726,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0193,6734,2720,KG,15939,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0311,SCRAP,4142,KG,25018,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0374,5995C5416,1000,KG,6430,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0374,8466C2971,15125,KG,97254,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0374,8143C2373,32975,KG,212029,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0046,9532,15125,KG,97254,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0046,7952,21025,KG,135191,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0046,4374,2400,KG,15432,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0046,5785,22000,KG,141460,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0046,9155,49500,KG,318285,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0046,9578,49500,KG,318285,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0046,9275,24750,KG,159143,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0046,4895,24750,KG,159143,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0046,8398,24750,KG,159143,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0046,3129,73550,KG,472927,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0046,4463,14850,KG,95486,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0046,1412,71025,KG,456691,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0046,1236,27500,KG,176825,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0046,5610,59075,KG,379852,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0046,3126,35225,KG,226497,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0046,7679,83875,KG,539316,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0046,3347,53625,KG,344809,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0046,2920,74250,KG,477428,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0046,9044,2575,KG,16557,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0046,6216,10975,KG,70569,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0046,2754,46750,KG,300603,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0046,8648,13750,KG,88413,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0046,9511,24750,KG,159143,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0194,SCRAP,100,KG,314,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0257,SCRAP,5151,KG,10457,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0195,8366,9700,KG,47728,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0195,7680,1200,KG,3768,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0195,8508,48100,KG,151034,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0195,6058,24750,KG,77715,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0195,8887,133300,KG,418562,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0195,6938,44000,KG,138160,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0195,5314,49375,KG,155038,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0195,8293,24225,KG,76067,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0195,2156,15125,KG,47493,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0195,8759,54950,KG,172543,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0195,6259,49375,KG,155038,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0082,3959A,450,KG,3839,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0082,5148A,1200,KG,10236,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0082,7082A,950,KG,8104,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0082,2284A,21225,KG,181049,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0082,7764A,32500,KG,277225,CNY
