Month,MATERIAL_NAME,ReconstructedInventory
2023-12,MAT-0005,0.025
2023-12,MAT-0007,117.725
2023-12,MAT-0011,169.45
2023-12,MAT-0012,24.75
2023-12,MAT-0014,0.025
2023-12,MAT-0015,1762.45
2023-12,MAT-0019,231.65
2023-12,MAT-0021,49.5
2023-12,MAT-0022,347.8
2023-12,MAT-0023,347.8
2023-12,MAT-0024,347.8
2023-12,MAT-0025,347.8
2023-12,MAT-0026,347.8
2023-12,MAT-0028,347.8
2023-12,MAT-0029,347.8
2023-12,MAT-0030,347.8
2023-12,MAT-0031,347.8
2023-12,MAT-0032,347.8
2023-12,MAT-0034,476.925
2023-12,MAT-0035,476.925
2023-12,MAT-0037,23.375
2023-12,MAT-0039,74.25
2023-12,MAT-0040,74.25
2023-12,MAT-0041,0.164
2023-12,MAT-0043,0.164
2023-12,MAT-0044,0.164
2023-12,MAT-0045,0.164
2023-12,MAT-0046,825.575
2023-12,MAT-0048,0.024
2023-12,MAT-0050,224.2
2023-12,MAT-0051,2.675
2023-12,MAT-0053,2.675
2023-12,MAT-0055,664.55
2023-12,MAT-0056,76.025
2023-12,MAT-0057,33.4
2023-12,MAT-0058,1.209
2023-12,MAT-0061,24.75
2023-12,MAT-0062,118.875
2023-12,MAT-0063,118.875
2023-12,MAT-0064,118.875
2023-12,MAT-0065,700.425
2023-12,MAT-0066,74.1
2023-12,MAT-0067,24.75
2023-12,MAT-0068,24.75
2023-12,MAT-0071,123.7
2023-12,MAT-0072,0.05
2023-12,MAT-0073,0.05
2023-12,MAT-0074,0.05
2023-12,MAT-0075,0.05
2023-12,MAT-0076,0.05
2023-12,MAT-0077,0.05
2023-12,MAT-0078,0.05
2023-12,MAT-0079,16.0
2023-12,MAT-0080,16.0
2023-12,MAT-0081,16.0
2023-12,MAT-0085,16.0
2023-12,MAT-0088,1.656
2023-12,MAT-0089,1.656
2023-12,MAT-0090,1.656
2023-12,MAT-0093,1.656
2023-12,MAT-0095,1.656
2023-12,MAT-0096,222.65
2023-12,MAT-0097,147.875
2023-12,MAT-0098,200.5
2023-12,MAT-0099,989.675
2023-12,MAT-0100,4.599
2023-12,MAT-0101,173.1
2023-12,MAT-0103,118.3
2023-12,MAT-0104,24.25
2023-12,MAT-0105,49.475
2023-12,MAT-0106,12.375
2023-12,MAT-0109,181.5
2023-12,MAT-0110,181.5
2023-12,MAT-0111,181.5
2023-12,MAT-0112,276.35
2023-12,MAT-0113,155.825
2023-12,MAT-0114,108.95
2023-12,MAT-0115,24.725
2023-12,MAT-0116,12.975
2023-12,MAT-0118,24.75
2023-12,MAT-0121,49.5
2023-12,MAT-0122,49.5
2023-12,MAT-0123,49.5
2023-12,MAT-0124,49.5
2023-12,MAT-0125,49.5
2023-12,MAT-0126,49.5
2023-12,MAT-0127,49.5
2023-12,MAT-0130,49.5
2023-12,MAT-0131,49.5
2023-12,MAT-0132,49.5
2023-12,MAT-0133,49.5
2023-12,MAT-0135,672.45
2023-12,MAT-0136,672.45
2023-12,MAT-0137,672.45
2023-12,MAT-0138,23.725
2023-12,MAT-0139,8.298
2023-12,MAT-0140,8.298
2023-12,MAT-0141,8.298
2023-12,MAT-0146,483.45
2023-12,MAT-0150,255.9
2023-12,MAT-0151,157.525
2023-12,MAT-0153,25.4
2023-12,MAT-0156,167.75
2023-12,MAT-0162,24.75
2023-12,MAT-0163,95.925
2023-12,MAT-0164,37.125
2023-12,MAT-0165,24.75
2023-12,MAT-0167,148.5
2023-12,MAT-0168,8.25
2023-12,MAT-0171,23.375
2023-12,MAT-0172,23.375
2023-12,MAT-0173,23.375
2023-12,MAT-0174,23.375
2023-12,MAT-0175,23.35
2023-12,MAT-0177,2.5
2023-12,MAT-0178,2.6
2023-12,MAT-0179,22.15
2023-12,MAT-0180,46.7
2023-12,MAT-0182,102.0
2023-12,MAT-0183,102.0
2023-12,MAT-0184,102.0
2023-12,MAT-0185,102.0
2023-12,MAT-0186,0.1
2023-12,MAT-0191,0.1
2023-12,MAT-0192,0.1
2023-12,MAT-0194,0.1
2023-12,MAT-0197,0.125
2023-12,MAT-0207,23.375
2023-12,MAT-0210,98.9
2023-12,MAT-0211,92.025
2023-12,MAT-0212,92.025
2023-12,MAT-0213,92.025
2023-12,MAT-0217,153.7
2023-12,MAT-0218,11.75
2023-12,MAT-0221,0.0
2023-12,MAT-0222,0.0
2023-12,MAT-0223,0.0
2023-12,MAT-0224,0.0
2023-12,MAT-0225,0.0
2023-12,MAT-0226,0.0
2023-12,MAT-0227,0.0
2023-12,MAT-0228,0.0
2023-12,MAT-0230,0.0
2023-12,MAT-0231,24.75
2023-12,MAT-0232,222.75
2023-12,MAT-0233,6.6
2023-12,MAT-0234,717.025
2023-12,MAT-0236,67.15
2023-12,MAT-0237,15.275
2023-12,MAT-0241,74.25
2023-12,MAT-0242,74.25
2023-12,MAT-0243,74.25
2023-12,MAT-0244,74.25
2023-12,MAT-0245,74.25
2023-12,MAT-0246,74.25
2023-12,MAT-0247,9.875
2023-12,MAT-0248,9.875
2023-12,MAT-0250,9.875
2023-12,MAT-0252,47.725
2023-12,MAT-0253,47.725
2023-12,MAT-0255,47.725
2023-12,MAT-0257,5.151
2023-12,MAT-0258,10.048
2023-12,MAT-0260,2.4
2023-12,MAT-0263,148.425
2023-12,MAT-0265,4.0
2023-12,MAT-0267,9.4
2023-12,MAT-0268,410.7
2023-12,MAT-0269,45.375
2023-12,MAT-0271,0.6
2023-12,MAT-0272,0.024
2023-12,MAT-0273,121.0
2023-12,MAT-0274,53.525
2023-12,MAT-0275,53.525
2023-12,MAT-0276,53.525
2023-12,MAT-0283,6.013
2023-12,MAT-0288,110.225
2023-12,MAT-0289,110.225
2023-12,MAT-0292,110.225
2023-12,MAT-0293,110.225
2023-12,MAT-0295,110.225
2023-12,MAT-0296,24.75
2023-12,MAT-0299,1.825
2023-12,MAT-0301,141.1
2023-12,MAT-0302,141.1
2023-12,MAT-0303,143.6
2023-12,MAT-0304,141.1
2023-12,MAT-0305,141.1
2023-12,MAT-0306,141.1
2023-12,MAT-0307,141.1
2023-12,MAT-0308,141.1
2023-12,MAT-0309,141.1
2023-12,MAT-0310,141.1
2023-12,MAT-0316,141.1
2023-12,MAT-0318,397.5
2023-12,MAT-0319,960.475
2023-12,MAT-0320,16.5
2023-12,MAT-0321,198.05
2023-12,MAT-0322,3.175
2023-12,MAT-0323,222.425
2023-12,MAT-0327,331.525
2023-12,MAT-0334,49.45
2023-12,MAT-0335,198.0
2023-12,MAT-0336,38.0
2023-12,MAT-0338,38.0
2023-12,MAT-0339,1.125
2023-12,MAT-0340,689.375
2023-12,MAT-0343,49.0
2023-12,MAT-0344,6.825
2023-12,MAT-0345,8.075
2023-12,MAT-0346,6.825
2023-12,MAT-0347,6.825
2023-12,MAT-0348,6.825
2023-12,MAT-0349,6.825
2023-12,MAT-0351,6.825
2023-12,MAT-0354,49.3
2023-12,MAT-0355,7.225
2023-12,MAT-0356,7.225
2023-12,MAT-0357,82.85
2023-12,MAT-0359,22.625
2023-12,MAT-0360,22.625
2023-12,MAT-0361,22.625
2023-12,MAT-0363,22.625
2023-12,MAT-0364,24.75
2023-12,MAT-0365,24.75
2023-12,MAT-0366,34.75
2023-12,MAT-0367,24.75
2023-12,MAT-0369,8.075
2023-12,MAT-0371,0.05
2023-12,MAT-0372,0.05
2023-12,MAT-0373,0.05
2023-12,MAT-0374,49.1
2023-12,MAT-0376,2.675
2023-12,MAT-0380,254.95
2023-12,MAT-0381,49.4
2023-12,MAT-0385,0.65
2023-12,MAT-0386,231.25
2023-12,MAT-0390,228.35
2023-12,MAT-0392,22.0
2023-12,MAT-0393,98.525
2023-12,MAT-0394,24.75
2023-12,MAT-0395,138.75
2023-12,MAT-0396,138.75
2023-12,MAT-0397,25.45
2023-12,MAT-0398,43.975
2023-12,MAT-0403,4.2
2023-12,MAT-0404,4.2
2023-12,MAT-0405,4.2
2023-12,MAT-0406,4.2
2023-12,MAT-0407,4.2
2023-12,MAT-0408,4.2
2023-12,MAT-0410,4.2
2023-12,MAT-0411,4.2
2023-12,MAT-0412,4.2
2023-12,MAT-0413,46.5
2023-12,MAT-0415,882.75
2023-12,MAT-0416,585.125
2023-12,MAT-0419,76.5
2023-12,MAT-0420,76.5
2023-12,MAT-0421,76.5
2023-12,MAT-0422,76.5
2023-12,MAT-0423,76.5
2023-12,MAT-0424,76.5
2023-12,MAT-0426,76.5
2023-12,MAT-0427,241.875
2023-12,MAT-0428,241.875
2023-12,MAT-0431,0.0
2024-01,MAT-0005,0.775
2024-01,MAT-0007,3649.475
2024-01,MAT-0011,5252.95
2024-01,MAT-0012,767.25
2024-01,MAT-0014,0.775
2024-01,MAT-0015,54635.95
2024-01,MAT-0019,7181.150000000001
2024-01,MAT-0021,1534.5
2024-01,MAT-0022,10781.8
2024-01,MAT-0023,10781.8
2024-01,MAT-0024,10781.8
2024-01,MAT-0025,10781.8
2024-01,MAT-0026,10781.8
2024-01,MAT-0028,10781.8
2024-01,MAT-0029,10781.8
2024-01,MAT-0030,10781.8
2024-01,MAT-0031,10781.8
2024-01,MAT-0032,10781.8
2024-01,MAT-0034,14784.675
2024-01,MAT-0035,14784.675
2024-01,MAT-0037,724.625
2024-01,MAT-0039,2301.75
2024-01,MAT-0040,2301.75
2024-01,MAT-0041,5.0840000000000005
2024-01,MAT-0043,5.0840000000000005
2024-01,MAT-0044,5.0840000000000005
2024-01,MAT-0045,5.0840000000000005
2024-01,MAT-0046,25592.825
2024-01,MAT-0048,0.744
2024-01,MAT-0050,9722.2
2024-01,MAT-0051,285.425
2024-01,MAT-0053,82.925
2024-01,MAT-0055,20642.3
2024-01,MAT-0056,10264.445
2024-01,MAT-0057,1035.4
2024-01,MAT-0058,37.479
2024-01,MAT-0061,767.25
2024-01,MAT-0062,5541.375
2024-01,MAT-0063,3685.125
2024-01,MAT-0064,3685.125
2024-01,MAT-0065,23931.05
2024-01,MAT-0066,2297.1
2024-01,MAT-0067,767.25
2024-01,MAT-0068,767.25
2024-01,MAT-0071,3834.7
2024-01,MAT-0072,702.8
2024-01,MAT-0073,1240.69
2024-01,MAT-0074,30.440000000000005
2024-01,MAT-0075,1.55
2024-01,MAT-0076,1.55
2024-01,MAT-0077,1.55
2024-01,MAT-0078,1.55
2024-01,MAT-0079,2034.71
2024-01,MAT-0080,496.0
2024-01,MAT-0081,496.0
2024-01,MAT-0085,499.6
2024-01,MAT-0088,51.336
2024-01,MAT-0089,51.336
2024-01,MAT-0090,51.336
2024-01,MAT-0093,51.336
2024-01,MAT-0095,51.336
2024-01,MAT-0096,6902.150000000001
2024-01,MAT-0097,4584.125
2024-01,MAT-0098,6215.5
2024-01,MAT-0099,34441.924999999996
2024-01,MAT-0100,142.56900000000002
2024-01,MAT-0101,5366.099999999999
2024-01,MAT-0103,4187.05
2024-01,MAT-0104,751.75
2024-01,MAT-0105,1533.725
2024-01,MAT-0106,383.625
2024-01,MAT-0109,8547.17
2024-01,MAT-0110,5626.5
2024-01,MAT-0111,5626.5
2024-01,MAT-0112,9439.0
2024-01,MAT-0113,4830.575
2024-01,MAT-0114,6564.95
2024-01,MAT-0115,766.475
2024-01,MAT-0116,402.225
2024-01,MAT-0118,767.25
2024-01,MAT-0121,1534.5
2024-01,MAT-0122,1924.5
2024-01,MAT-0123,1534.5
2024-01,MAT-0124,1534.5
2024-01,MAT-0125,1534.5
2024-01,MAT-0126,1534.5
2024-01,MAT-0127,1534.5
2024-01,MAT-0130,1534.5
2024-01,MAT-0131,1908.5
2024-01,MAT-0132,1534.5
2024-01,MAT-0133,1534.5
2024-01,MAT-0135,20999.95
2024-01,MAT-0136,21031.575
2024-01,MAT-0137,20845.95
2024-01,MAT-0138,735.475
2024-01,MAT-0139,257.238
2024-01,MAT-0140,257.238
2024-01,MAT-0141,257.238
2024-01,MAT-0146,14986.95
2024-01,MAT-0150,7932.900000000001
2024-01,MAT-0151,11313.775
2024-01,MAT-0153,787.4
2024-01,MAT-0156,8492.0
2024-01,MAT-0162,767.25
2024-01,MAT-0163,2973.6749999999997
2024-01,MAT-0164,1150.875
2024-01,MAT-0165,767.25
2024-01,MAT-0167,4603.5
2024-01,MAT-0168,255.75
2024-01,MAT-0171,724.625
2024-01,MAT-0172,724.625
2024-01,MAT-0173,724.625
2024-01,MAT-0174,759.0
2024-01,MAT-0175,723.85
2024-01,MAT-0177,95.375
2024-01,MAT-0178,223.1
2024-01,MAT-0179,686.65
2024-01,MAT-0180,1447.7
2024-01,MAT-0182,3193.25
2024-01,MAT-0183,3162.0
2024-01,MAT-0184,3162.0
2024-01,MAT-0185,3162.0
2024-01,MAT-0186,3.1
2024-01,MAT-0191,3.1
2024-01,MAT-0192,3.1
2024-01,MAT-0194,3.1
2024-01,MAT-0197,3.875
2024-01,MAT-0207,724.625
2024-01,MAT-0210,3912.9
2024-01,MAT-0211,2852.775
2024-01,MAT-0212,2852.775
2024-01,MAT-0213,2852.775
2024-01,MAT-0217,4764.7
2024-01,MAT-0218,364.25
2024-01,MAT-0221,1178.75
2024-01,MAT-0222,0.0
2024-01,MAT-0223,0.0
2024-01,MAT-0224,0.0
2024-01,MAT-0225,0.0
2024-01,MAT-0226,0.0
2024-01,MAT-0227,0.0
2024-01,MAT-0228,1054.0
2024-01,MAT-0230,0.0
2024-01,MAT-0231,767.25
2024-01,MAT-0232,6905.25
2024-01,MAT-0233,1871.1
2024-01,MAT-0234,26663.575
2024-01,MAT-0236,2081.65
2024-01,MAT-0237,844.775
2024-01,MAT-0241,2301.75
2024-01,MAT-0242,2871.0
2024-01,MAT-0243,2323.75
2024-01,MAT-0244,2301.75
2024-01,MAT-0245,2301.75
2024-01,MAT-0246,2301.75
2024-01,MAT-0247,3325.625
2024-01,MAT-0248,306.125
2024-01,MAT-0250,306.125
2024-01,MAT-0252,1479.475
2024-01,MAT-0253,1479.475
2024-01,MAT-0255,1479.475
2024-01,MAT-0257,159.68099999999998
2024-01,MAT-0258,311.488
2024-01,MAT-0260,74.39999999999999
2024-01,MAT-0263,4601.175
2024-01,MAT-0265,124.0
2024-01,MAT-0267,384.9
2024-01,MAT-0268,14236.2
2024-01,MAT-0269,1406.625
2024-01,MAT-0271,439.35
2024-01,MAT-0272,0.744
2024-01,MAT-0273,3751.0
2024-01,MAT-0274,1659.275
2024-01,MAT-0275,1659.275
2024-01,MAT-0276,1659.275
2024-01,MAT-0283,186.403
2024-01,MAT-0288,3416.975
2024-01,MAT-0289,3416.975
2024-01,MAT-0292,3416.975
2024-01,MAT-0293,3956.975
2024-01,MAT-0295,3416.975
2024-01,MAT-0296,767.25
2024-01,MAT-0299,56.575
2024-01,MAT-0301,4728.849999999999
2024-01,MAT-0302,5484.605
2024-01,MAT-0303,7576.6
2024-01,MAT-0304,4864.099999999999
2024-01,MAT-0305,4374.099999999999
2024-01,MAT-0306,4704.099999999999
2024-01,MAT-0307,4374.099999999999
2024-01,MAT-0308,4374.099999999999
2024-01,MAT-0309,4374.099999999999
2024-01,MAT-0310,4374.099999999999
2024-01,MAT-0316,4374.099999999999
2024-01,MAT-0318,12322.5
2024-01,MAT-0319,29774.725
2024-01,MAT-0320,511.5
2024-01,MAT-0321,6139.55
2024-01,MAT-0322,296.425
2024-01,MAT-0323,6895.175
2024-01,MAT-0327,10283.575
2024-01,MAT-0334,1532.95
2024-01,MAT-0335,11355.75
2024-01,MAT-0336,1222.0
2024-01,MAT-0338,1299.0
2024-01,MAT-0339,34.875
2024-01,MAT-0340,32675.3
2024-01,MAT-0343,1519.0
2024-01,MAT-0344,1175.45
2024-01,MAT-0345,481.575
2024-01,MAT-0346,582.825
2024-01,MAT-0347,211.575
2024-01,MAT-0348,211.575
2024-01,MAT-0349,211.575
2024-01,MAT-0351,211.575
2024-01,MAT-0354,1528.3
2024-01,MAT-0355,443.975
2024-01,MAT-0356,519.6
2024-01,MAT-0357,2568.35
2024-01,MAT-0359,1592.375
2024-01,MAT-0360,701.375
2024-01,MAT-0361,701.375
2024-01,MAT-0363,701.375
2024-01,MAT-0364,767.25
2024-01,MAT-0365,852.25
2024-01,MAT-0366,1482.25
2024-01,MAT-0367,767.25
2024-01,MAT-0369,250.325
2024-01,MAT-0371,817.55
2024-01,MAT-0372,2105.3
2024-01,MAT-0373,855.425
2024-01,MAT-0374,1522.1
2024-01,MAT-0376,82.925
2024-01,MAT-0380,7903.45
2024-01,MAT-0381,1531.4
2024-01,MAT-0385,20.15
2024-01,MAT-0386,7683.0
2024-01,MAT-0390,7438.05
2024-01,MAT-0392,682.0
2024-01,MAT-0393,3054.275
2024-01,MAT-0394,767.25
2024-01,MAT-0395,8057.875
2024-01,MAT-0396,4305.15
2024-01,MAT-0397,788.9499999999999
2024-01,MAT-0398,1363.225
2024-01,MAT-0403,130.20000000000002
2024-01,MAT-0404,138.0
2024-01,MAT-0405,315.825
2024-01,MAT-0406,130.20000000000002
2024-01,MAT-0407,130.20000000000002
2024-01,MAT-0408,130.20000000000002
2024-01,MAT-0410,130.20000000000002
2024-01,MAT-0411,130.20000000000002
2024-01,MAT-0412,130.20000000000002
2024-01,MAT-0413,7843.1
2024-01,MAT-0415,28788.96
2024-01,MAT-0416,18138.875
2024-01,MAT-0419,2371.5
2024-01,MAT-0420,2371.5
2024-01,MAT-0421,11864.84
2024-01,MAT-0422,2371.5
2024-01,MAT-0423,2371.5
2024-01,MAT-0424,2371.5
2024-01,MAT-0426,2371.5
2024-01,MAT-0427,7498.125
2024-01,MAT-0428,14650.875
2024-01,MAT-0431,0.0
2024-02,MAT-0005,0.7250000000000001
2024-02,MAT-0007,3414.0249999999996
2024-02,MAT-0011,4914.049999999999
2024-02,MAT-0012,717.75
2024-02,MAT-0014,0.7250000000000001
2024-02,MAT-0015,58214.3
2024-02,MAT-0019,6717.85
2024-02,MAT-0021,1435.5
2024-02,MAT-0022,10086.2
2024-02,MAT-0023,10086.2
2024-02,MAT-0024,10086.2
2024-02,MAT-0025,10086.2
2024-02,MAT-0026,10086.2
2024-02,MAT-0028,10086.2
2024-02,MAT-0029,10086.2
2024-02,MAT-0030,10086.2
2024-02,MAT-0031,10086.2
2024-02,MAT-0032,10086.2
2024-02,MAT-0034,13830.825
2024-02,MAT-0035,13833.575
2024-02,MAT-0037,677.875
2024-02,MAT-0039,2153.25
2024-02,MAT-0040,2153.25
2024-02,MAT-0041,4.756
2024-02,MAT-0043,4.756
2024-02,MAT-0044,4.756
2024-02,MAT-0045,4.756
2024-02,MAT-0046,26409.325
2024-02,MAT-0048,0.6960000000000001
2024-02,MAT-0050,10214.3
2024-02,MAT-0051,9990.075
2024-02,MAT-0053,77.57499999999999
2024-02,MAT-0055,19391.574999999997
2024-02,MAT-0056,22454.785
2024-02,MAT-0057,968.6
2024-02,MAT-0058,35.061
2024-02,MAT-0061,717.75
2024-02,MAT-0062,7704.375
2024-02,MAT-0063,3447.375
2024-02,MAT-0064,3447.375
2024-02,MAT-0065,23223.199999999997
2024-02,MAT-0066,2148.8999999999996
2024-02,MAT-0067,717.75
2024-02,MAT-0068,717.75
2024-02,MAT-0071,3587.3
2024-02,MAT-0072,2235.825
2024-02,MAT-0073,3046.74
2024-02,MAT-0074,550.36
2024-02,MAT-0075,1327.4499999999998
2024-02,MAT-0076,1.4500000000000002
2024-02,MAT-0077,1.4500000000000002
2024-02,MAT-0078,1.4500000000000002
2024-02,MAT-0079,2497.77
2024-02,MAT-0080,464.0
2024-02,MAT-0081,464.0
2024-02,MAT-0085,475.6
2024-02,MAT-0088,48.024
2024-02,MAT-0089,48.024
2024-02,MAT-0090,48.024
2024-02,MAT-0093,48.024
2024-02,MAT-0095,48.024
2024-02,MAT-0096,6456.85
2024-02,MAT-0097,4288.375
2024-02,MAT-0098,5814.5
2024-02,MAT-0099,40605.325
2024-02,MAT-0100,133.371
2024-02,MAT-0101,5019.9
2024-02,MAT-0103,4148.450000000001
2024-02,MAT-0104,703.25
2024-02,MAT-0105,1434.775
2024-02,MAT-0106,358.875
2024-02,MAT-0109,12020.83
2024-02,MAT-0110,5333.5
2024-02,MAT-0111,5300.625
2024-02,MAT-0112,15117.34
2024-02,MAT-0113,7191.924999999999
2024-02,MAT-0114,8531.8
2024-02,MAT-0115,717.0250000000001
2024-02,MAT-0116,379.275
2024-02,MAT-0118,717.75
2024-02,MAT-0121,1855.4
2024-02,MAT-0122,2596.75
2024-02,MAT-0123,1435.5
2024-02,MAT-0124,1435.5
2024-02,MAT-0125,1435.5
2024-02,MAT-0126,1435.5
2024-02,MAT-0127,1435.5
2024-02,MAT-0130,1435.5
2024-02,MAT-0131,2435.125
2024-02,MAT-0132,1435.5
2024-02,MAT-0133,1435.5
2024-02,MAT-0135,19884.675000000003
2024-02,MAT-0136,19859.925000000003
2024-02,MAT-0137,21184.050000000003
2024-02,MAT-0138,688.0250000000001
2024-02,MAT-0139,240.642
2024-02,MAT-0140,240.642
2024-02,MAT-0141,240.642
2024-02,MAT-0146,14260.675
2024-02,MAT-0150,7421.1
2024-02,MAT-0151,21533.675000000003
2024-02,MAT-0153,736.5999999999999
2024-02,MAT-0156,9926.125
2024-02,MAT-0162,717.75
2024-02,MAT-0163,2781.825
2024-02,MAT-0164,2151.875
2024-02,MAT-0165,717.75
2024-02,MAT-0167,4306.5
2024-02,MAT-0168,239.25
2024-02,MAT-0171,677.875
2024-02,MAT-0172,677.875
2024-02,MAT-0173,677.875
2024-02,MAT-0174,877.25
2024-02,MAT-0175,677.1500000000001
2024-02,MAT-0177,112.375
2024-02,MAT-0178,1899.4
2024-02,MAT-0179,642.3499999999999
2024-02,MAT-0180,1354.3000000000002
2024-02,MAT-0182,2994.25
2024-02,MAT-0183,2958.0
2024-02,MAT-0184,2958.0
2024-02,MAT-0185,2958.0
2024-02,MAT-0186,2.9000000000000004
2024-02,MAT-0191,2.9000000000000004
2024-02,MAT-0192,596.9000000000001
2024-02,MAT-0194,2.9000000000000004
2024-02,MAT-0197,3.625
2024-02,MAT-0207,677.875
2024-02,MAT-0210,5219.35
2024-02,MAT-0211,2668.7250000000004
2024-02,MAT-0212,2668.7250000000004
2024-02,MAT-0213,2668.7250000000004
2024-02,MAT-0217,4457.299999999999
2024-02,MAT-0218,340.75
2024-02,MAT-0221,3205.0
2024-02,MAT-0222,0.0
2024-02,MAT-0223,0.0
2024-02,MAT-0224,0.0
2024-02,MAT-0225,0.0
2024-02,MAT-0226,0.0
2024-02,MAT-0227,0.0
2024-02,MAT-0228,4717.535
2024-02,MAT-0230,0.0
2024-02,MAT-0231,717.75
2024-02,MAT-0232,6459.75
