Day,MATERIAL_NAME,InitialInv,total_quantity,ReconstructedInventory
2023-12-31,MAT-0005,0.025,0.0,0.025
2024-01-01,MAT-0005,0.025,0.0,0.025
2024-01-02,MAT-0005,0.025,0.0,0.025
2024-01-03,MAT-0005,0.025,0.0,0.025
2024-01-04,MAT-0005,0.025,0.0,0.025
2024-01-05,MAT-0005,0.025,0.0,0.025
2024-01-06,MAT-0005,0.025,0.0,0.025
2024-01-07,MAT-0005,0.025,0.0,0.025
2024-01-08,MAT-0005,0.025,0.0,0.025
2024-01-09,MAT-0005,0.025,0.0,0.025
2024-01-10,MAT-0005,0.025,0.0,0.025
2024-01-11,MAT-0005,0.025,0.0,0.025
2024-01-12,MAT-0005,0.025,0.0,0.025
2024-01-13,MAT-0005,0.025,0.0,0.025
2024-01-14,MAT-0005,0.025,0.0,0.025
2024-01-15,MAT-0005,0.025,0.0,0.025
2024-01-16,MAT-0005,0.025,0.0,0.025
2024-01-17,MAT-0005,0.025,0.0,0.025
2024-01-18,MAT-0005,0.025,0.0,0.025
2024-01-19,MAT-0005,0.025,0.0,0.025
2024-01-20,MAT-0005,0.025,0.0,0.025
2024-01-21,MAT-0005,0.025,0.0,0.025
2024-01-22,MAT-0005,0.025,0.0,0.025
2024-01-23,MAT-0005,0.025,0.0,0.025
2024-01-24,MAT-0005,0.025,0.0,0.025
2024-01-25,MAT-0005,0.025,0.0,0.025
2024-01-26,MAT-0005,0.025,0.0,0.025
2024-01-27,MAT-0005,0.025,0.0,0.025
2024-01-28,MAT-0005,0.025,0.0,0.025
2024-01-29,MAT-0005,0.025,0.0,0.025
2024-01-30,MAT-0005,0.025,0.0,0.025
2024-01-31,MAT-0005,0.025,0.0,0.025
2024-02-01,MAT-0005,0.025,0.0,0.025
2024-02-02,MAT-0005,0.025,0.0,0.025
2024-02-03,MAT-0005,0.025,0.0,0.025
2024-02-04,MAT-0005,0.025,0.0,0.025
2024-02-05,MAT-0005,0.025,0.0,0.025
2024-02-06,MAT-0005,0.025,0.0,0.025
2024-02-07,MAT-0005,0.025,0.0,0.025
2024-02-08,MAT-0005,0.025,0.0,0.025
2024-02-09,MAT-0005,0.025,0.0,0.025
2024-02-10,MAT-0005,0.025,0.0,0.025
2024-02-11,MAT-0005,0.025,0.0,0.025
2024-02-12,MAT-0005,0.025,0.0,0.025
2024-02-13,MAT-0005,0.025,0.0,0.025
2024-02-14,MAT-0005,0.025,0.0,0.025
2024-02-15,MAT-0005,0.025,0.0,0.025
2024-02-16,MAT-0005,0.025,0.0,0.025
2024-02-17,MAT-0005,0.025,0.0,0.025
2024-02-18,MAT-0005,0.025,0.0,0.025
2024-02-19,MAT-0005,0.025,0.0,0.025
2024-02-20,MAT-0005,0.025,0.0,0.025
2024-02-21,MAT-0005,0.025,0.0,0.025
2024-02-22,MAT-0005,0.025,0.0,0.025
2024-02-23,MAT-0005,0.025,0.0,0.025
2024-02-24,MAT-0005,0.025,0.0,0.025
2024-02-25,MAT-0005,0.025,0.0,0.025
2024-02-26,MAT-0005,0.025,0.0,0.025
2024-02-27,MAT-0005,0.025,0.0,0.025
2024-02-28,MAT-0005,0.025,0.0,0.025
2024-02-29,MAT-0005,0.025,0.0,0.025
2024-03-01,MAT-0005,0.025,0.0,0.025
2024-03-02,MAT-0005,0.025,0.0,0.025
2024-03-03,MAT-0005,0.025,0.0,0.025
2024-03-04,MAT-0005,0.025,0.0,0.025
2024-03-05,MAT-0005,0.025,0.0,0.025
2024-03-06,MAT-0005,0.025,0.0,0.025
2024-03-07,MAT-0005,0.025,0.0,0.025
2024-03-08,MAT-0005,0.025,0.0,0.025
2024-03-09,MAT-0005,0.025,0.0,0.025
2024-03-10,MAT-0005,0.025,0.0,0.025
2024-03-11,MAT-0005,0.025,0.0,0.025
2024-03-12,MAT-0005,0.025,0.0,0.025
2024-03-13,MAT-0005,0.025,0.0,0.025
2024-03-14,MAT-0005,0.025,0.0,0.025
2024-03-15,MAT-0005,0.025,0.0,0.025
2024-03-16,MAT-0005,0.025,0.0,0.025
2024-03-17,MAT-0005,0.025,0.0,0.025
2024-03-18,MAT-0005,0.025,0.0,0.025
2024-03-19,MAT-0005,0.025,0.0,0.025
2024-03-20,MAT-0005,0.025,0.0,0.025
2024-03-21,MAT-0005,0.025,0.0,0.025
2024-03-22,MAT-0005,0.025,0.0,0.025
2024-03-23,MAT-0005,0.025,0.0,0.025
2024-03-24,MAT-0005,0.025,0.0,0.025
2024-03-25,MAT-0005,0.025,0.0,0.025
2024-03-26,MAT-0005,0.025,0.0,0.025
2024-03-27,MAT-0005,0.025,0.0,0.025
2024-03-28,MAT-0005,0.025,0.0,0.025
2024-03-29,MAT-0005,0.025,0.0,0.025
2024-03-30,MAT-0005,0.025,0.0,0.025
2024-03-31,MAT-0005,0.025,0.0,0.025
2024-04-01,MAT-0005,0.025,0.0,0.025
2024-04-02,MAT-0005,0.025,0.0,0.025
2024-04-03,MAT-0005,0.025,0.0,0.025
2024-04-04,MAT-0005,0.025,0.0,0.025
2024-04-05,MAT-0005,0.025,0.0,0.025
2024-04-06,MAT-0005,0.025,0.0,0.025
2024-04-07,MAT-0005,0.025,0.0,0.025
2024-04-08,MAT-0005,0.025,0.0,0.025
2024-04-09,MAT-0005,0.025,0.0,0.025
2024-04-10,MAT-0005,0.025,0.0,0.025
2024-04-11,MAT-0005,0.025,0.0,0.025
2024-04-12,MAT-0005,0.025,0.0,0.025
2024-04-13,MAT-0005,0.025,0.0,0.025
2024-04-14,MAT-0005,0.025,0.0,0.025
2024-04-15,MAT-0005,0.025,0.0,0.025
2024-04-16,MAT-0005,0.025,0.0,0.025
2024-04-17,MAT-0005,0.025,0.0,0.025
2024-04-18,MAT-0005,0.025,0.0,0.025
2024-04-19,MAT-0005,0.025,0.0,0.025
2024-04-20,MAT-0005,0.025,0.0,0.025
2024-04-21,MAT-0005,0.025,0.0,0.025
2024-04-22,MAT-0005,0.025,0.0,0.025
2024-04-23,MAT-0005,0.025,0.0,0.025
2024-04-24,MAT-0005,0.025,0.0,0.025
2024-04-25,MAT-0005,0.025,0.0,0.025
2024-04-26,MAT-0005,0.025,0.0,0.025
2024-04-27,MAT-0005,0.025,0.0,0.025
2024-04-28,MAT-0005,0.025,0.0,0.025
2024-04-29,MAT-0005,0.025,0.0,0.025
2024-04-30,MAT-0005,0.025,0.0,0.025
2024-05-01,MAT-0005,0.025,0.0,0.025
2024-05-02,MAT-0005,0.025,0.0,0.025
2024-05-03,MAT-0005,0.025,0.0,0.025
2024-05-04,MAT-0005,0.025,0.0,0.025
