Day,MATERIAL_NAME,PLANT_NAME,total_quantity,AdjustedInv
2024-07-25,MAT-0005,SINGAPORE-WAREHOUSE,12.0,12.025
2024-03-29,MAT-0007,SINGAPORE-WAREHOUSE,5.4,808.775
2024-06-24,MAT-0007,SINGAPORE-WAREHOUSE,24.75,833.525
2024-09-08,MAT-0007,SINGAPORE-WAREHOUSE,49.5,883.025
2024-11-22,MAT-0011,SINGAPORE-WAREHOUSE,1.0,203.575
2024-06-18,MAT-0012,SINGAPORE-WAREHOUSE,2.75,
2024-07-04,MAT-0012,SINGAPORE-WAREHOUSE,5.5,
2024-07-12,MAT-0012,SINGAPORE-WAREHOUSE,13.75,
2024-07-27,MAT-0012,SINGAPORE-WAREHOUSE,5.5,
2024-08-14,MAT-0012,SINGAPORE-WAREHOUSE,11.0,
2024-09-03,MAT-0012,SINGAPORE-WAREHOUSE,2.75,
2024-09-04,MAT-0012,SINGAPORE-WAREHOUSE,1.38,
2024-09-11,MAT-0012,SINGAPORE-WAREHOUSE,99.0,
2024-09-13,MAT-0012,SINGAPORE-WAREHOUSE,1.375,
2024-09-19,MAT-0012,SINGAPORE-WAREHOUSE,6.875,
2024-09-20,MAT-0012,SINGAPORE-WAREHOUSE,8.25,
2024-09-22,MAT-0012,SINGAPORE-WAREHOUSE,33.0,
2024-09-23,MAT-0012,SINGAPORE-WAREHOUSE,24.75,
2024-10-03,MAT-0012,SINGAPORE-WAREHOUSE,12.375,
2024-10-06,MAT-0012,SINGAPORE-WAREHOUSE,24.75,
2024-10-11,MAT-0012,SINGAPORE-WAREHOUSE,1.375,
2024-10-15,MAT-0012,SINGAPORE-WAREHOUSE,24.75,
2024-10-23,MAT-0012,SINGAPORE-WAREHOUSE,24.75,
2024-10-24,MAT-0012,SINGAPORE-WAREHOUSE,12.375,
2024-10-29,MAT-0012,SINGAPORE-WAREHOUSE,16.5,
2024-10-31,MAT-0012,SINGAPORE-WAREHOUSE,24.75,
2024-11-06,MAT-0012,SINGAPORE-WAREHOUSE,16.5,
2024-11-10,MAT-0012,SINGAPORE-WAREHOUSE,24.75,
2024-11-14,MAT-0012,SINGAPORE-WAREHOUSE,19.25,
2024-11-20,MAT-0012,SINGAPORE-WAREHOUSE,24.75,
2024-11-20,MAT-0012,SINGAPORE-WAREHOUSE,19.25,
2024-12-07,MAT-0012,SINGAPORE-WAREHOUSE,24.75,
2024-12-08,MAT-0012,SINGAPORE-WAREHOUSE,19.25,
2024-12-10,MAT-0012,SINGAPORE-WAREHOUSE,38.5,
2024-12-15,MAT-0012,SINGAPORE-WAREHOUSE,19.25,
2024-12-19,MAT-0012,SINGAPORE-WAREHOUSE,19.25,
2024-12-24,MAT-0012,SINGAPORE-WAREHOUSE,19.25,
2024-12-26,MAT-0012,SINGAPORE-WAREHOUSE,19.25,
2024-12-29,MAT-0012,SINGAPORE-WAREHOUSE,19.25,
2024-08-21,MAT-0014,SINGAPORE-WAREHOUSE,49.5,49.721
2024-08-29,MAT-0014,SINGAPORE-WAREHOUSE,99.0,148.721
2024-02-06,MAT-0015,SINGAPORE-WAREHOUSE,24.75,1209.125
2024-02-18,MAT-0015,SINGAPORE-WAREHOUSE,148.5,1357.625
2024-02-21,MAT-0015,SINGAPORE-WAREHOUSE,99.0,1456.625
2024-02-22,MAT-0015,SINGAPORE-WAREHOUSE,371.25,1827.875
2024-02-22,MAT-0015,SINGAPORE-WAREHOUSE,49.5,1877.375
2024-02-27,MAT-0015,SINGAPORE-WAREHOUSE,49.5,1926.875
2024-02-28,MAT-0015,SINGAPORE-WAREHOUSE,148.5,2075.375
2024-02-29,MAT-0015,SINGAPORE-WAREHOUSE,24.75,2100.125
2024-03-02,MAT-0015,SINGAPORE-WAREHOUSE,99.0,2199.125
2024-03-02,MAT-0015,SINGAPORE-WAREHOUSE,49.5,2248.625
2024-03-02,MAT-0015,SINGAPORE-WAREHOUSE,17.875,2266.5
2024-03-03,MAT-0015,SINGAPORE-WAREHOUSE,35.75,2302.25
2024-03-04,MAT-0015,SINGAPORE-WAREHOUSE,0.3,2302.55
2024-03-04,MAT-0015,SINGAPORE-WAREHOUSE,24.75,2327.3
2024-03-04,MAT-0015,SINGAPORE-WAREHOUSE,24.75,2352.05
2024-03-05,MAT-0015,SINGAPORE-WAREHOUSE,99.0,2451.05
2024-03-11,MAT-0015,SINGAPORE-WAREHOUSE,24.75,2475.8
2024-03-15,MAT-0015,SINGAPORE-WAREHOUSE,49.5,2525.3
2024-03-21,MAT-0015,SINGAPORE-WAREHOUSE,12.375,2537.675
2024-03-22,MAT-0015,SINGAPORE-WAREHOUSE,74.25,2611.925
2024-03-24,MAT-0015,SINGAPORE-WAREHOUSE,16.5,2628.425
2024-03-27,MAT-0015,SINGAPORE-WAREHOUSE,8.25,2636.675
2024-03-29,MAT-0015,SINGAPORE-WAREHOUSE,24.75,2661.425
2024-03-29,MAT-0015,SINGAPORE-WAREHOUSE,49.5,2710.925
2024-04-04,MAT-0015,SINGAPORE-WAREHOUSE,24.75,2735.675
2024-04-08,MAT-0015,SINGAPORE-WAREHOUSE,24.75,2760.425
2024-04-08,MAT-0015,SINGAPORE-WAREHOUSE,24.75,2785.175
2024-04-08,MAT-0015,SINGAPORE-WAREHOUSE,99.0,2884.175
2024-04-11,MAT-0015,SINGAPORE-WAREHOUSE,99.0,2983.175
2024-04-13,MAT-0015,SINGAPORE-WAREHOUSE,99.0,3082.175
2024-04-16,MAT-0015,SINGAPORE-WAREHOUSE,49.5,3131.675
2024-04-17,MAT-0015,SINGAPORE-WAREHOUSE,148.5,3280.175
