INBOUND_DATE,MATERIAL_NAME,PLANT_NAME,total_quantity
2023/11/03,MAT-0237,CHINA-WAREHOUSE,297.0
2023/11/07,MAT-0085,SINGAPORE-WAREHOUSE,23.375
2023/11/07,MAT-0116,SINGAPORE-WAREHOUSE,46.75
2023/11/07,MAT-0309,SINGAPORE-WAREHOUSE,49.5
2023/11/09,MAT-0009,CHINA-WAREHOUSE,62.4
2023/11/09,MAT-0332,CHINA-WAREHOUSE,160.0
2023/11/11,MAT-0229,CHINA-WAREHOUSE,247.5
2023/11/13,MAT-0007,CHINA-WAREHOUSE,93.5
2023/11/13,MAT-0099,CHINA-WAREHOUSE,123.75
2023/11/13,MAT-0273,SINGAPORE-WAREHOUSE,24.75
2023/11/13,MAT-0354,SINGAPORE-WAREHOUSE,24.75
2023/11/16,MAT-0068,SINGAPORE-WAREHOUSE,24.75
2023/11/18,MAT-0395,SINGAPORE-WAREHOUSE,148.5
2023/11/18,MAT-0345,SINGAPORE-WAREHOUSE,120.0
2023/11/18,MAT-0237,CHINA-WAREHOUSE,239.25
2023/11/18,MAT-0112,SINGAPORE-WAREHOUSE,247.5
2023/11/18,MAT-0099,CHINA-WAREHOUSE,148.5
2023/11/18,MAT-0062,SINGAPORE-WAREHOUSE,173.25
2023/11/18,MAT-0228,SINGAPORE-WAREHOUSE,198.0
2023/11/20,MAT-0413,SINGAPORE-WAREHOUSE,495.0
2023/11/22,MAT-0164,SINGAPORE-WAREHOUSE,46.75
2023/11/22,MAT-0207,SINGAPORE-WAREHOUSE,23.375
2023/11/22,MAT-0211,SINGAPORE-WAREHOUSE,24.75
2023/11/22,MAT-0218,SINGAPORE-WAREHOUSE,99.0
2023/11/22,MAT-0367,SINGAPORE-WAREHOUSE,24.75
2023/11/23,MAT-0421,SINGAPORE-WAREHOUSE,495.0
2023/11/23,MAT-0007,CHINA-WAREHOUSE,140.25
2023/11/23,MAT-0237,SINGAPORE-WAREHOUSE,742.5
2023/11/24,MAT-0193,CHINA-WAREHOUSE,157.08
2023/11/24,MAT-0332,CHINA-WAREHOUSE,200.0
2023/11/24,MAT-0009,CHINA-WAREHOUSE,166.4
2023/11/26,MAT-0413,SINGAPORE-WAREHOUSE,247.5
2023/11/29,MAT-0056,CHINA-WAREHOUSE,123.75
2023/11/30,MAT-0085,SINGAPORE-WAREHOUSE,49.5
2023/11/30,MAT-0237,SINGAPORE-WAREHOUSE,247.5
2023/11/30,MAT-0386,CHINA-WAREHOUSE,148.5
