OUTBOUND_DATE,MATERIAL_NAME,PLANT_NAME,MODE_OF_TRANSPORT,CUSTOMER_NUMBER,total_quantity
2023-12-06,MAT-0050,SINGAPORE-WAREHOUSE,Marine,CST-01001,99.0
2023-12-31,MAT-0056,SINGAPORE-WAREHOUSE,Marine,CST-01002,49.5
2023-12-31,MAT-0210,SINGAPORE-WAREHOUSE,Marine,CST-01003,6.875
2023-12-31,MAT-0303,SINGAPORE-WAREHOUSE,Marine,CST-01003,2.5
2023-12-31,MAT-0345,SINGAPORE-WAREHOUSE,Marine,CST-01003,1.25
2023-12-31,MAT-0366,SINGAPORE-WAREHOUSE,Marine,CST-01004,10.0
2024-01-01,MAT-0421,SINGAPORE-WAREHOUSE,Marine,CST-01005,49.5
2024-01-01,MAT-0413,SINGAPORE-WAREHOUSE,Marine,CST-01007,0.5
2024-01-01,MAT-0344,SINGAPORE-WAREHOUSE,Marine,CST-01010,4.125
2024-01-01,MAT-0395,SINGAPORE-WAREHOUSE,Marine,CST-01007,23.375
2024-01-01,MAT-0338,SINGAPORE-WAREHOUSE,Marine,CST-01006,1.0
2024-01-01,MAT-0303,SINGAPORE-WAREHOUSE,Marine,CST-01010,6.25
2024-01-01,MAT-0210,SINGAPORE-WAREHOUSE,Marine,CST-01008,11.0
2024-01-01,MAT-0344,SINGAPORE-WAREHOUSE,Marine,CST-01009,11.0
2024-01-02,MAT-0317,CHINA-WAREHOUSE,Truck,CST-00020,13.75
2024-01-02,MAT-0229,CHINA-WAREHOUSE,Truck,CST-00026,0.1
2024-01-02,MAT-0264,CHINA-WAREHOUSE,Truck,CST-00005,99.01
2024-01-02,MAT-0266,CHINA-WAREHOUSE,Truck,CST-00019,9.63
2024-01-02,MAT-0268,CHINA-WAREHOUSE,Truck,CST-00002,102.0
2024-01-02,MAT-0302,SINGAPORE-WAREHOUSE,Truck,CST-01013,7.98
2024-01-02,MAT-0314,CHINA-WAREHOUSE,Truck,CST-00021,3.0
2024-01-02,MAT-0314,CHINA-WAREHOUSE,Truck,CST-00025,0.25
2024-01-02,MAT-0316,CHINA-WAREHOUSE,Truck,CST-00018,49.51
2024-01-02,MAT-0318,CHINA-WAREHOUSE,Truck,CST-00011,24.75
2024-01-02,MAT-0382,CHINA-WAREHOUSE,Truck,CST-00008,24.75
2024-01-02,MAT-0319,CHINA-WAREHOUSE,Truck,CST-00012,24.75
2024-01-02,MAT-0321,CHINA-WAREHOUSE,Truck,CST-00008,24.75
2024-01-02,MAT-0325,CHINA-WAREHOUSE,Truck,CST-00009,49.5
2024-01-02,MAT-0339,CHINA-WAREHOUSE,Truck,CST-00025,0.35
2024-01-02,MAT-0340,CHINA-WAREHOUSE,Truck,CST-00010,24.75
2024-01-02,MAT-0229,CHINA-WAREHOUSE,Truck,CST-00007,49.52
2024-01-02,MAT-0389,CHINA-WAREHOUSE,Truck,CST-00028,3.01
2024-01-02,MAT-0390,CHINA-WAREHOUSE,Truck,CST-00033,5.5
2024-01-02,MAT-0415,CHINA-WAREHOUSE,Truck,CST-00006,49.5
2024-01-02,MAT-0428,CHINA-WAREHOUSE,Truck,CST-00004,24.75
2024-01-02,MAT-0318,CHINA-WAREHOUSE,Truck,CST-00017,74.25
2024-01-02,MAT-0206,CHINA-WAREHOUSE,Truck,CST-00034,45.01
