Warehouse,Month,Total_Cap_MT,Predicted_Outbound_MT,Predicted_Inventory_MT
SINGAPORE,2024-01,53500.0,8710.0,39581.0
SINGAPORE,2024-02,53500.0,10950.0,36763.0
SINGAPORE,2024-03,53500.0,9360.0,35049.0
SINGAPORE,2024-04,53500.0,7520.0,35663.0
SINGAPORE,2024-05,53500.0,10740.0,36374.0
SINGAPORE,2024-06,53500.0,9440.0,40500.0
SINGAPORE,2024-07,53500.0,11380.0,44288.0
SINGAPORE,2024-08,53500.0,11330.0,41769.0
SINGAPORE,2024-09,53500.0,16700.0,41735.0
SINGAPORE,2024-10,53500.0,20980.0,41849.0
SINGAPORE,2024-11,53500.0,16470.0,40327.0
SINGAPORE,2024-12,48000.0,13970.0,15375.05
